"url, title, page_address, status, meter, total, finish_date"
"子供達を支援する寄付サイト「九州発！TABEKIFU」発足！,/projects/766,プロジェクトが成立しました！,103%,830000,12月23日"
"対話の場から、自分らしく生きるオトナのセナカを増やしたい！,/projects/otonanosenaka,プロジェクトが成立しました！,134%,2148000,12月23日"
"夢と笑顔で世界を繋げる∼リエンポン村に小学校を建てよう∼,/projects/SharetheWind,プロジェクトが成立しました！,100%,600000,12月22日"
"東京で諫早湾演劇「有明をわたる翼」を上演したい!,/projects/Hediste_japonica,プロジェクトが成立しました！,139%,417000,12月21日"
"視覚障がい者と健常者が一緒に楽しめる映画祭をつくりたい！！,/projects/meijibarrierfree,プロジェクトが成立しました！,116%,175000,12月21日"
"カナダ北極圏の単独徒歩を通じて夢が実現することを伝えたい！,/projects/Co-Dreamer,プロジェクトが成立しました！,113%,2828000,12月20日"
"復興途上の三宅島を伝える番組を皆で作ろう！一口スポンサー募集中！,/projects/j-wave_miyakejima,プロジェクトが成立しました！,105%,1262000,12月19日"
"【ソーシャルビジネスラボ】都心にワンコインで利用できる社会活動のスペースを創る！,/projects/social_business_lab,プロジェクトが成立しました！,129%,452000,12月17日"
"患者を代表して治験に参加する仲間を助けたい！,/projects/padm,プロジェクトが成立しました！,112%,564000,12月17日"
"社会とLGBTの架け橋となったスターを讃えるアワードを開催！,/projects/TSSA2013,プロジェクトが成立しました！,104%,1044000,12月16日"
"タイの孤児院にクリスマスプレゼントを贈りたい！,/projects/974,プロジェクトが成立しました！,111%,111000,12月16日"
"父親を失ったスリランカの家族が、安心して帰る家を守りたい！,/projects/srilanka-family,プロジェクトが成立しました！,100%,200000,12月15日"
"日本全国に住む転勤族向け小冊子を制作・販売するプロジェクト,/projects/tenkin-books,プロジェクトが成立しました！,107%,107000,12月11日"
"国登録有形文化財「八鶴亭（旧八鶴館）」を後世に残したい！,/projects/hakkakutei,プロジェクトが成立しました！,125%,500000,12月11日"
"第5回ニコニコ学会βで野生の研究者をもっと支援したい！,/projects/niconicogakkai5,プロジェクトが成立しました！,132%,930700,12月11日"
"フィリピンの孤児たちが音楽隊結成！専門家を日本から派遣して応援,/projects/houseofjoy,プロジェクトが成立しました！,138%,552000,12月9日"
"福島の高校生自身が企画！福島・中国友好交流企画「あいでみ」,/projects/fukushimaniaidemi,プロジェクトが成立しました！,115%,579000,12月9日"
"全国47都道県立図書館に市民が撮った3.11記録集を届けます,/projects/311archive,プロジェクトが成立しました！,106%,1470000,12月9日"
"ケニアのスラムに図書館を建設！本を通して広い世界を知ってほしい,/projects/kenya-library,プロジェクトが成立しました！,116%,408000,12月9日"
"地元高校生が気仙沼を恋人の町に！,/projects/sokoageyouth,プロジェクトが成立しました！,118%,236000,12月7日"
"被災地東北三県の保育園児1000人にクリスマスプレゼントを贈りたい！,/projects/kizunakurisumasu,プロジェクトが成立しました！,108%,540000,12月7日"
"ラテンアメリカをテーマに起業した人を取材した単行本を制作！,/projects/chuunanbei,プロジェクトが成立しました！,110%,220000,12月3日"
"病気に苦しむ捨て犬たちに必要な治療を受けさせてあげたい！,/projects/peace-winds,プロジェクトが成立しました！,137%,548000,12月2日"
"親子の心がほっこりする自作曲のCDを作りたい！,/projects/hinatabocco,プロジェクトが成立しました！,124%,373000,12月1日"
"3.11をテーマにダンスを上演し山形を考えるきっかけにしたい,/projects/fukushima-itamu-mono-no-koe,プロジェクトが成立しました！,108%,543000,12月1日"
"光を失った気仙沼湾に未来への希望溢れるイルミネーションを！,/projects/oneline2013,プロジェクトが成立しました！,117%,1170000,12月1日"
"【第２弾】スリランカの孤児、貧困女性の自立支援「染め工房」,/projects/some_kobo,プロジェクトが成立しました！,102%,511000,11月30日"
"40代のオヤジ達がラフティングで世界選手権に挑戦します！,/projects/Rapidmasters,プロジェクトが成立しました！,106%,637000,11月28日"
"被災地を含め子どもたちが『夢を叶える4つの方法』を学べる夢授業を！,/projects/dreamletter,プロジェクトが成立しました！,104%,1257000,11月21日"
"ファッションショーを通して女性に対する暴力の問題を訴えます!,/projects/ajwrcyouth,プロジェクトが成立しました！,105%,528000,11月14日"
"群馬県の松井田商店街に地域生活をサポートするカフェを作る！,/projects/annaka-hidamari,プロジェクトが成立しました！,117%,351000,11月13日"
"バングラデシュの子どもたちを、村ですくすく育てよう！プロジェクト,/projects/BANGLA,プロジェクトが成立しました！,101%,457000,11月12日"
"福島の子どもたちに自然体験を！手のひらに太陽の家プロジェクト,/projects/tenohirani_taiyou,プロジェクトが成立しました！,110%,880000,11月8日"
"福島に熱い想いを持った男達30人によるエンターテイメント公演開催！,/projects/lomeo,プロジェクトが成立しました！,107%,2144000,11月8日"
"差別や暴力と闘っている女性の生の声を、日本の皆さんに伝えます！,/projects/discrimination-of-women,プロジェクトが成立しました！,124%,372000,11月7日"
"宮城県女川町高白浜でゆめハウスを復活させたい！,/projects/takashirohamayumehouse,プロジェクトが成立しました！,112%,1975000,11月6日"
"【第2弾】歌舞伎や映画、大切な日本の文化を次世代に残す。,/projects/ootanitoshokan2,プロジェクトが成立しました！,116%,2910000,11月6日"
"三陸の素敵な人に会いに行く旅のガイドブック「三陸人」を出版！,/projects/sanrikujin,プロジェクトが成立しました！,104%,2093000,11月5日"
"12月7日「いつかかるか？排泄の悩みごと」市民公開講座を札幌で開催,/projects/816siminkokaikoza,プロジェクトが成立しました！,100%,500000,11月5日"
"おじいちゃんおばあちゃんをあの日の思い出の場所へ連れて行きたい！,/projects/dokodemo,プロジェクトが成立しました！,100%,502000,11月3日"
"被災地の子供達と金子みすゞのうた＆被災地支援ソングをCDに！,/projects/mori_isamu,プロジェクトが成立しました！,106%,1069000,11月1日"
"沖縄の大自然に「森のおもちゃ美術館」を皆で作ろう！一口館長募集中!!,/projects/okinawa_toy_museum,プロジェクトが成立しました！,131%,7862000,10月28日"
