"title, page_address, curated_page, category, owner, rest, patron, meter, total"
"シリア内戦から逃れ国外避難するシリア難民たち 支援の手が届かない彼らに支援を届けたい,http://greenfunding.jp/changemaker/projects/585,社会起業大学,社会貢献,三宅　裕子"
"親へ想いを伝えることで本当の家族になる。感謝・感動・歴史の「感歴」祝いで社会を心から豊かにします！,http://greenfunding.jp/changemaker/projects/582,社会起業大学,その他,金田雅子"
"女子大生 やまちゃんの真剣チャレンジ！女の子たちのフットサルを盛り上げたい！,https://meetaup.jp/meetaup/projects/577,MeeT@UP,スポーツ,山本 美樹"
"［池亀酒造］日本酒の新しい楽しみ方を、日本に、そして世界に広めたい！,http://greenfunding.jp/tokyo-calendar/projects/428,東京カレンダー,フード,egoista,終了,69,125,753000"
"伊勢神宮式年遷宮を祝して、「STELLA」の東京カレンダーオリジナル大人ボトルを作りたい！,http://greenfunding.jp/tokyo-calendar/projects/424,東京カレンダー,フード,伊勢萬,終了,50,102,630000"
"世界に蔓延している“心の病”を解決するアチーバスセラピーを開発したい！！,https://meetaup.jp/meetaup/projects/574,MeeT@UP,社会貢献,梅村武史,終了,65,113,1133000"
"【香港プロサッカーリーグに初参入】横浜ＦＣ香港を個人スポンサーとして応援！,https://meetaup.jp/meetaup/projects/573,MeeT@UP,スポーツ,太田博喜"
"ファッションで動物とヒトは共生できる？『Emagazine』第2号「ファッション×動物」刊行！,http://greenfunding.jp/greengirl/projects/560,GREEN GIRL,ファッション,Ethical Fashion Japan"
"きゃんひとみ・喋り手人生30周年記念「自叙伝」の自費出版を、リスナーの皆さんのサポートで実現したい！,http://greenfunding.jp/projectroom/projects/572,bayfm78,出版,bayfm事業開発部,終了,455,549,1097600"
"初めてのプロツアー参戦！,http://greenfunding.jp/allez-japan/projects/571,ALLEZ! japan,スポーツ,園田彩乃,終了,32,115,172500"
"映画「神様はバリにいる」映画製作プロジェクト,https://meetaup.jp/meetaup/projects/563,MeeT@UP,映像・映画,前田 紘孝,終了,518,113,16888500"
"世界ローラースケートスピード選手権大会に参戦,http://greenfunding.jp/allez-japan/projects/552,ALLEZ! japan,スポーツ,戸取大樹(ローラースケート/スピード競技),終了,20,125,125000"
"日本の「KAWAII」ネイルを世界に広めることで、日本のネイリストの働く場を増やしたい！,http://greenfunding.jp/lab/projects/550,GREEN FUNDING Lab,ファッション,中崎瞬"
"江古田をアートな町に！アートフェス「江古田ユニバース2013」を広めるプロジェクト,http://greenfunding.jp/sustena/projects/406,sustena,アート,三田村龍伸"
"メイクで日本のエネルギーを伝えたい。Make up unknown in JPN,http://greenfunding.jp/greengirl/projects/402,GREEN GIRL,アート,UNKNOWN,終了,43,118,176500"
