"title, page_address, owner, category, status, patron, total, rest"
"「イメージあふれる夏」WEB上映プロジェクト,/projects/summerimage,Kazuya ...,映画,FUNDED!,1,3000,終了13年10月19日"
"NoddiN Exhibition 映像作家達による自主制作の発表展示にご支援をお願...,/projects/noddin-exhibition,NOddIN,パフォーマンス,FUNDED!,47,380001,終了13年08月27日"
"RAINBOW JAPAN 3　〜日本列島に未来へ号でメッセージを描くプロジェクト ...,/projects/rainbowjapan3,遠藤 一郎,アート,FUNDED!,33,640001,終了13年09月01日"
"親父が野音で「俺に任せろ！」と叫ぶ記念日～中年ドリーム日本元気化プロジェクト～,/projects/40s-yaon,Kawaber...,音楽,NOT FUNDED!"
"ヨコハマこども映画教室　〜小学生と一流の映画監督が3日間で映画を作って上映する！\r\n〜,/projects/kodomoeigakyositu,Etsuko ...,映画,FUNDED!,69,711000,終了13年08月01日"
"坂上香監督最新作『トークバック 女たちのシアター』の制作費&宣伝費をサポートして下さい！,/projects/talkback2013,坂上香,映画,FUNDED!,103,3302500,終了13年07月13日"
"レジェンドオブやなな,/projects/yananalegend,ありがとう、や...,パフォーマンス,FUNDED!,211,5027377,終了13年07月18日"
"情報社会の「イマ」を切り取るインターネットヒーロードラマ『現実拡張 スマホ仮面』スペ...,/projects/smapho-kamen,TTM（Mas...,映画,FUNDED!,148,1233000,終了13年07月01日"
"自主制作映画『TRAIL（トレイル）』の配給・宣伝費を募集します！,/projects/trail-film,河野 竜也,映画,FUNDED!,6,70000,終了13年09月07日"
"「ハーブ&ドロシー ふたりからの贈りもの」を、世界に先駆けて日本で劇場公開！実現のた...,/projects/herbanddorothy5050,Sasaki ...,映画,FUNDED!,915,14633703,終了13年03月01日"
"ネパール発のナチュラルコスメブランド　Lalitpur　by　Coffret　Pro...,/projects/lalitpur,向田麻衣,プロダクト,FUNDED!,141,1068524,終了13年05月24日"
"世界で最もエキサイティングなクラシック音楽祭　ラ・フォル・ジュルネ２０１３を成功させ...,/projects/lfj2013,株式会社東京国...,音楽,FUNDED!,225,2354000,終了13年04月23日"
"『パワー・トゥ・ザ・ピープル ～グローバルからローカルへ～』の日本全国上映運動を、エ...,/projects/p2p,kenji,映画,FUNDED!,21,216000,終了13年07月22日"
"地球への感謝の心、地球に暮らす全てのいのちを愛しむ心を広げよう！「地球愛祭り2013...,/projects/ThankEarthTokyo2013,地球愛祭り東京...,コミュニティ,FUNDED!,12,56000,終了13年08月12日"
"傘を大切にしませんか？　100%made in JAPAN の大切にしたい傘　ka-...,/projects/ka-rai-do2013,ユニファイド・...,アート,FUNDED!,2,20000,終了13年10月14日"
"LANDMARK FESTIVAL ISHINOMAKI 2013 映像化計画,/projects/LMF-ISHINOMAKI2013,Kouta W...,音楽,NOT FUNDED!"
"ニコラス・ケイジのアカデミー受賞作「リービング・ラスベガス」マイク・フィギス監督来日...,/projects/figgisinjapan,わたなべりんたろう,映画,FUNDED!,13,88000,終了13年06月24日"
"N家の蔵再生プロジェクト 蔵から見える、未来の暮らし,/projects/nke,一般財団法人 ...,コミュニティ,FUNDED!,13,110500,終了13年07月01日"
"「美食の旅　宮城県編」100年後に残す、郷土の味。宮城県編。そこでしか食べられないご...,/projects/bisyokumiyagi,美食の旅DVD...,映画,NOT FUNDED!"
"～日本劇場公開を目指して〜「日米映画制作プロジェクト」将来はハリウッドへ！,/projects/shofilm,杉山 知之,映画,FUNDED!,51,710000,終了13年06月13日"
"オール旭川でつくる長編映画のプロモーション用に製作！短編映画「ソラノイロ（仮）」プロ...,/projects/soranoiro,鈴木 聖史,映画,FUNDED!,32,171000,終了13年06月02日"
"低学歴の子どもたちに職業選択の幅を拡げるための学習支援事業,/projects/gakushushien,一般財団法人 ...,コミュニティ,FUNDED!,45,387000,終了13年07月01日"
"すべてのお父さんへ届けたい！３人の監督が描くオムニバス劇場公開映画「Father」,/projects/fathereiga,Akiko M...,映画,FUNDED!,29,239000,終了13年05月31日"
"広域避難親子への心豊かな時間のプレゼント事業,/projects/hinanshien,一般財団法人 ...,演劇・ダンス,FUNDED!,15,260000,終了13年07月01日"
"前代未聞！世界初！バングラデシュ・ダッカで開催する、貧困からの脱却イベント「リキシャ...,/projects/rickshaw2013,Cecilia...,映画,FUNDED!,29,823000,終了13年06月01日"
"シアトル・バンクーバーで能楽を普及する謡サロン「challenge2013」開催プロ...,/projects/challenge2013,まきのじゅんこ,パフォーマンス,FUNDED!,21,123000,終了13年06月01日"
"映画を通して、モンゴルと日本の友好を盛り上げたい！,/projects/mongol,モンゴル野球青...,映画,FUNDED!,10,61000,終了13年05月31日"
